# Anos indicados pelo Tiago na ferramenta HTML, 2026-09-10.
# INDICATIVOS, por validar com a Clara. Nao sao factos apurados.
id,ano
f0215,2015
f0001,1996
f0013,1996
f0014,1995
f0016,1996
f0003,1998
f0015,1998
f0055,2014
f0171,2022
f0012,1995
f0041,1996
f0169,1996
f0010,1997
f0172,1997
f0009,1997
f0170,1998
f0175,1998
f0230,1999
f0174,1999
f0186,1999
f0176,2000
f0177,2000
f0179,2001
f0180,2001
f0181,2001
f0182,2002
f0185,2002
f0183,2003
f0236,2006
f0235,2012
f0213,2016
f0211,2025
f0212,2025
f0229,2022
f0223,2023
f0225,2025
f0226,2013
f0154,2013
f0159,2017
f0060,2019
f0059,2019
f0061,2019
f0062,2019
f0063,2019
f0079,2019
f0071,2022
f0075,2023
f0080,2025
f0082,2022
f0088,2023
f0033,2014
f0173,2014
f0027,2015
f0028,2016
f0029,2016
f0030,2017
f0031,2018
f0032,2018
f0100,2018
f0092,2025
f0093,2026
f0103,1996
f0104,1997
f0105,1998
f0153,1999
f0115,2000
f0125,2001
f0134,2002
f0107,2004
f0151,2005
f0152,2006
f0106,2007
f0108,2008
f0109,2009
f0111,2010
f0113,2011
f0296,2012
f0128,2013
f0257,2019
f0140,2022
f0133,2014
f0145,2016
f0187,2025
f0194,2025
f0201,2025
f0209,2025
f0035,2025
f0202,2020
f0207,2023
f0273,2019
f0205,2020
f0252,2021
f0249,2022
f0019,2023
f0018,2024
