id,ordem,bloco,ficheiro,tipo,pessoa,ano,evento,duracao_s,in_s,out_s,movimento,texto_ecra,resolucao_ok,voto_tiago,voto_clara,nota_tiago,nota_clara,estado
f0014,1,1,10-2.jpg,foto,Familia,1995,Com o pai. Era pequenina e já lhe dava,4,,,Zoom in,,Nao,,,,,
f0012,2,1,1 (2).jpg,foto,Clara,1995,"Era clara, e como já estava vaticinado",4,,,Zoom out,,Nao,,,,,
f0001,3,1,10-1 (2).jpg,foto,Familia,1996,Com o pai. Era pequenina e já lhe dava,4,,,Zoom in,,Nao,,,,,
f0013,4,1,10-1 (2).jpg,foto,Familia,1996,Com o pai. Era pequenina e já lhe dava,4,,,Zoom out,,Nao,,,,,
f0016,5,1,10-4.jpg,foto,Familia,1996,Com o pai. Era pequenina e já lhe dava,4,,,Zoom in,,Nao,,,,,
f0041,6,1,2.jpg,foto,Clara,1996,Era muito bem disposta,4,,,Pan D-E,,Nao,,,,,
f0169,7,1,5 (2).jpg,foto,Clara,1996,Era muito bem disposta,4,,,Nenhum,,Nao,,,,,
f0103,8,1,21-46.jpg,foto,Tiago,1996,Foi o segundo filho,4,,,Zoom out,,Nao,,,,,
f0351,9,1,1996_tiago_e_irmao_mais_velho.jpg,foto,Familia,1996,Por classificar,4,,,Zoom in,,Nao,,,,,
f0104,10,1,21-47.jpg,foto,Tiago,1997,E era amoroso,4,,,Zoom out,,Nao,,,,,
f0010,11,1,6.jpg,foto,Clara,1997,Muito curiosa,4,,,Zoom in,,Nao,,,,,
f0172,12,1,6.jpg,foto,Clara,1997,Muito curiosa,4,,,Zoom out,,Nao,,,,,
f0009,13,1,5-3.jpg,foto,Clara,1997,"Muito rebelde... (Dizia ""não se mexe""",4,,,Zoom in,,Nao,,,,,
f0105,14,1,21-48.jpg,foto,Tiago,1998,"Com a mãe, o mano e as primas",4,,,Nenhum,,Nao,,,,,
f0003,15,1,10-3.jpg,foto,Familia,1998,Com o pai. Era pequenina e já lhe dava,4,,,Zoom in,,Nao,,,,,
f0015,16,1,10-3.jpg,foto,Familia,1998,Com o pai. Era pequenina e já lhe dava,4,,,Zoom out,,Nao,,,,,
f0175,17,1,7.jpg,foto,Clara,1998,Muito irrequieta,4,,,Zoom in,,Nao,,,,,
f0170,18,1,5-3.jpg,foto,Clara,1998,"Muito rebelde... (Dizia ""não se mexe""",4,,,Zoom out,,Nao,,,,,
f0174,19,1,7-1.jpg,foto,Clara,1999,Clarinha e as pombas,4,,,Zoom in,,Nao,,,,,
f0153,20,1,21-49.jpg,foto,Tiago,1999,E com o pai,4,,,Zoom out,,Nao,,,,,
f0186,21,1,8.jpg,foto,Clara,1999,"Era endiabrada, mas também encantadora",4,,,Nenhum,,Nao,,,,,
f0230,22,1,9-25.jpg,foto,Clara,1999,Gostava dos bichinhos todos,4,,,Zoom out,,Nao,,,,,
f0115,23,1,21-49-2.jpg,foto,Tiago,2000,Com a avó Orquídia,4,,,Zoom in,,Nao,,,,,
f0177,24,1,8-3.jpg,foto,Clara,2000,E clarividente,4,,,Zoom out,,Nao,,,,,
f0176,25,1,8-1.jpg,foto,Clara,2000,"Era endiabrada, mas também encantadora",4,,,Zoom in,,Nao,,,,,
f0179,26,1,8-5.jpg,foto,Clara,2001,Desde muito cedo criou uma grande empa,4,,,Zoom out,,Nao,,,,,
f0180,27,1,8-6.jpg,foto,Clara,2001,E logo ganhou um Clube de Fãs,4,,,Pan E-D,,Nao,,,,,
f0181,28,1,8-7.jpg,foto,Clara,2001,Inspirou figuras de estilo,4,,,Nenhum,,Nao,,,,,
f0125,29,1,21-49-3.jpg,foto,Tiago,2001,Primeiro aniversário. O pai faz anos n,4,,,Pan E-D,,Nao,,,,,
f0185,1,2,8-9.jpg,foto,Clara,2002,Conotações,4,,,Pan D-E,,Nao,,,,,
f0182,2,2,8-8.jpg,foto,Clara,2002,Repetições e aliterações,4,,,Pan E-D,,Nao,,,,,
f0134,3,2,21-49-4.jpg,foto,Tiago,2002,Segundo aniversário,4,,,Zoom out,,Nao,,,,,
f0184,4,2,8-9-2.jpg,foto,Clara,2003,Aos 8 anos recebeu o primeiro pedido d,4,,,Zoom in,,Sim,,,,,
f0183,5,2,8-9-1.jpg,foto,Clara,2003,Metáforas e hipérboles,4,,,Zoom out,,Nao,,,,,
f0107,6,2,21-49-11.jpg,foto,Tiago,2004,Terceiro aniversário,4,,,Nenhum,,Nao,,,,,
f0151,7,2,21-49-6.jpg,foto,Tiago,2005,Portugal dos Pequeninos,4,,,Zoom out,Portugal dos Pequeninos,Nao,,,,,
f0236,8,2,9.1.jpg,foto,Clara,2006,Já usou um penteado à Emma Watson,4,,,Zoom in,,Nao,,,,,
f0152,9,2,21-49-8.jpg,foto,Tiago,2006,Portugal dos Pequeninos,4,,,Zoom out,,Nao,,,,,
f0106,10,2,21-49-10.jpg,foto,Tiago,2007,Portugal dos Pequeninos,4,,,Zoom in,,Nao,,,,,
