id,ficheiro,final,origem,mudou_pct
f0001,10-1 (2).jpg,f0001__10-1 (2).jpg,IA,1.54
f0002,10-1.jpg,10-1.jpg,IA,1.54
f0003,10-3.jpg,f0003__10-3.jpg,lanczos,0.54
f0004,10-5.JPG,f0004__10-5.JPG,original,0.00
f0005,11-13.jpg,f0005__11-13.jpg,original,0.00
f0006,11-3 - Cópia.JPG,11-3 - Cópia.jpg,lanczos,0.50
f0007,11-3.JPG,11-3.jpg,lanczos,0.50
f0008,21-49-13.JPG,21-49-13.JPG,original,0.00
f0009,5-3.jpg,f0009__5-3.jpg,lanczos,0.55
f0010,6.jpg,f0010__6.jpg,lanczos,0.56
f0011,WhatsApp Image 2026-03-01 at 13.30.02.jpeg,f0011__WhatsApp Image 2026-03-01 at 13.30.02.jpg,lanczos,0.27
f0012,1 (2).jpg,1 (2).jpg,lanczos,0.54
f0013,10-1 (2).jpg,f0013__10-1 (2).jpg,IA,1.58
f0014,10-2.jpg,10-2.jpg,IA,1.62
f0015,10-3.jpg,f0015__10-3.jpg,lanczos,0.53
f0016,10-4.jpg,10-4.jpg,IA,1.30
f0017,10-5.JPG,f0017__10-5.JPG,original,0.00
f0018,1021-1.jpg,1021-1.jpg,IA,1.25
f0019,1021.jpg,1021.jpg,lanczos,0.43
f0020,1031.JPG,1031.JPG,original,0.00
f0021,11-10.JPG,11-10.JPG,original,0.00
f0022,11-12.JPG,11-12.JPG,original,0.00
f0023,11-13.jpg,f0023__11-13.jpg,original,0.00
f0024,11-14.jpg,11-14.jpg,IA,1.45
f0025,11-15.jpg,11-15.jpg,lanczos,0.66
f0026,11-20.jpg,11-20.jpg,original,0.00
f0027,11-4.JPG,11-4.jpg,lanczos,0.57
f0028,11-5.jpg,11-5.jpg,IA,1.73
f0029,11-6.jpg,11-6.jpg,lanczos,0.67
f0030,11-7.jpg,11-7.jpg,lanczos,0.55
f0031,11-8.jpg,11-8.jpg,lanczos,0.64
f0032,11-9.jpg,11-9.jpg,lanczos,0.53
f0033,11.jpg,11.jpg,IA,1.33
f0034,1200.jpg,1200.jpg,lanczos,0.50
f0035,182-73.JPG,182-73.JPG,original,0.00
f0036,182-74.JPG,182-74.JPG,original,0.00
f0037,182-76.JPG,182-76.JPG,original,0.00
f0038,185.JPG,185.JPG,original,0.00
f0039,19-1.JPG,19-1.JPG,original,0.00
f0040,19-2.JPG,19-2.JPG,original,0.00
f0041,2.jpg,2.jpg,IA,1.67
f0042,20-1.jpg,20-1.jpg,original,0.00
f0043,20-2.JPG,20-2.JPG,original,0.00
f0044,20-3.JPG,20-3.JPG,original,0.00
f0045,20-4.png,20-4.jpg,IA,0.80
f0046,20.JPG,20.JPG,original,0.00
f0047,200_ML_FestaNatal2022.jpg,200_ML_FestaNatal2022.jpg,original,0.00
f0048,20170204_200730.jpg,f0048__20170204_200730.jpg,original,0.00
f0049,20170521_162505.jpg,20170521_162505.jpg,original,0.00
f0050,20170805181124.jpg,f0050__20170805181124.jpg,original,0.00
f0051,20250608_224334 - Cópia.jpg,20250608_224334 - Cópia.jpg,original,0.00
f0052,20260101_011410.jpg,20260101_011410.jpg,original,0.00
f0053,20260101_011607.jpg,20260101_011607.jpg,original,0.00
f0054,20260623_201228.jpg,20260623_201228.jpg,original,0.00
f0055,21-1.JPG,21-1.JPG,original,0.00
f0056,21-10.JPG,21-10.JPG,original,0.00
f0057,21-11-1.JPG,21-11-1.JPG,original,0.00
f0058,21-11-2.JPG,21-11-2.JPG,original,0.00
f0059,21-11-3.jpg,21-11-3.jpg,lanczos,0.63
f0060,21-11.jpeg,21-11.jpeg,original,0.00
f0061,21-12.JPG,21-12.jpg,lanczos,0.60
