ordem,id,tipo,seccao,ficheiro,duracao_s,transicao_s,inicio_s,fim_s,dominante_s,solo_s,movimento,texto_ecra,tratamento,duracao_original_s,variacao_pct,fonte_imagem,nota
1,f0054,foto,v1b,20260623_201228.jpg,4.4,0.0,0.0,4.4,4.4,4.4,Zoom in,No Mundial de futebol 2026,fundo,,,,
2,f0227,foto,v1b,9-24-7.JPG,4.4,0.7,3.7,8.1,3.7,3.0,Zoom in,"Numa viagem de comboio, em ferias",fundo,,,,
3,f0274,foto,v1b,IMG_4477.JPG,4.4,0.7,7.4,11.8,3.7,3.0,Zoom in,Ferias 2026,fundo,,,,
4,f0081,foto,v1b,21-38.jpg,0.45,0,11.8,12.25,0.45,0.45,Nenhum,Caminhadas pelo Parque das Serras do Porto,rajada,,,,
5,f0082,foto,v1b,21-39.jpg,0.45,0,12.25,12.7,0.45,0.45,Nenhum,,rajada,,,,
6,f0085,foto,v1b,21-41.JPG,0.45,0,12.7,13.15,0.45,0.45,Nenhum,,rajada,,,,
7,f0086,foto,v1b,21-42.JPG,0.45,0,13.15,13.6,0.45,0.45,Nenhum,,rajada,,,,
8,f0087,foto,v1b,21-43.JPG,0.45,0,13.6,14.05,0.45,0.45,Nenhum,,rajada,,,,
9,f0088,foto,v1b,21-44.JPG,0.45,0,14.05,14.5,0.45,0.45,Nenhum,,rajada,,,,
10,f0102,foto,v1b,21-45.JPG,0.45,0,14.5,14.95,0.45,0.45,Nenhum,,rajada,,,,
11,f0224,foto,v1b,9-24-2.JPG,0.45,0,14.95,15.4,0.45,0.45,Nenhum,,rajada,,,,
12,,cartao,v1b,,3.6,0.7,14.7,18.3,2.9,2.2,Zoom in,Familia,fiel,,,,
13,f0013,foto,v1b,10-1 (2).jpg,4.4,0.7,17.6,22.0,3.7,3.0,Zoom in,Com o pai. Era pequenina e ja lhe dava ouras,fundo,,,,
14,f0014,foto,v1b,10-2.jpg,4.4,0.7,21.3,25.7,3.7,3.0,Zoom in,,fundo,,,,
