ordem,id,tipo,seccao,ficheiro,duracao_s,transicao_s,inicio_s,fim_s,dominante_s,solo_s,movimento,texto_ecra,tratamento,duracao_original_s,variacao_pct,fonte_imagem,nota
1,,cartao,v2,,3.4,0.0,0.0,3.4,3.4,3.4,Zoom in,1995,fiel,,,,
2,f0012,foto,v2,1 (2).jpg,3.7,0.7,2.7,6.4,3.0,2.3,Zoom in,Clara,fundo,,,,
3,f0103,foto,v2,21-46.jpg,3.7,0.7,5.7,9.4,3.0,2.3,Zoom in,Tiago,fundo,,,,
4,f0041,foto,v2,2.jpg,3.7,0.7,8.7,12.4,3.0,2.3,Zoom in,,fundo,,,,
5,f0104,foto,v2,21-47.jpg,3.7,0.7,11.7,15.4,3.0,2.3,Zoom in,,fundo,,,,
6,f0169,foto,v2,5 (2).jpg,3.7,0.7,14.7,18.4,3.0,2.3,Zoom in,,fundo,,,,
7,f0153,foto,v2,21-49.jpg,3.7,0.7,17.7,21.4,3.0,2.3,Zoom in,,fundo,,,,
8,f0172,foto,v2,6.jpg,3.7,0.7,20.7,24.4,3.0,2.3,Zoom in,,fundo,,,,
9,f0115,foto,v2,21-49-2.jpg,3.7,0.7,23.7,27.4,3.0,2.3,Zoom in,,fundo,,,,
10,f0175,foto,v2,7.jpg,3.7,0.7,26.7,30.4,3.0,2.3,Zoom in,,fundo,,,,
11,f0125,foto,v2,21-49-3.jpg,4.4,0.7,29.7,34.1,3.7,3.0,Zoom in,,fundo,,,,
