ordem,id,tipo,seccao,ficheiro,duracao_s,transicao_s,inicio_s,fim_s,dominante_s,solo_s,movimento,texto_ecra,tratamento,duracao_original_s,variacao_pct,fonte_imagem,nota,textos_fotos,textos_opcoes
1,,video,"demo v3, o flash-forward",20th Century Fox Intro HD.mp4,20.8,0.0,0.0,20.8,20.8,20.8,Nenhum,,fiel,,,,,,
2,,video,"demo v3, o flash-forward",intro_clara_tiago.mp4,13.4,0.0,20.8,34.2,13.4,13.4,Nenhum,,fiel,,,,,,
3,,contador,"demo v3, o flash-forward",,9.0,0.7,33.5,42.5,8.3,7.6,Nenhum,2026>1995|4 de outubro de 2026,fiel,,,,,,
4,,marcos,"demo v3, o flash-forward",,15.0,0.7,41.8,56.8,14.3,13.6,Nenhum,"1995@0-0.674731|17/01 Terramoto em Kobe, Japão @kobe, japao.png;26/03 Abrem as fronteiras de Schengen @Schengen_Agreement_(1985)_signatures.jpg;24/08 Sai o Windows 95 @Windows95.jpeg;04/09 Nasce o SAPO, em Aveiro @sapo_42c89ed355959aa80b08ddd3b3b79ffc3555d337.jpg;*12/09 Nasce o Tiago;01/10 Guterres ganha as eleições @guterres.jpg;24/11 Salvam-se as gravuras do Côa @gravuras_coa.jpg;*24/11 Nasce a Clara",fiel,,,,,,
5,,marcos,"demo v3, o flash-forward",,9.0,0.0,56.8,65.8,9.0,9.0,Nenhum,"1995@0.678731-0.696237c|17/01 Terramoto em Kobe, Japão @kobe, japao.png;26/03 Abrem as fronteiras de Schengen @Schengen_Agreement_(1985)_signatures.jpg;24/08 Sai o Windows 95 @Windows95.jpeg;04/09 Nasce o SAPO, em Aveiro @sapo_42c89ed355959aa80b08ddd3b3b79ffc3555d337.jpg;*12/09 Nasce o Tiago;01/10 Guterres ganha as eleições @guterres.jpg;24/11 Salvam-se as gravuras do Côa @gravuras_coa.jpg;*24/11 Nasce a Clara",fiel,,,,,,
6,,cartao,"demo v3, o flash-forward",,3.6,0.7,65.1,68.7,2.9,2.2,Zoom in,Nasce o segundo filho de Graça e Alberto,fiel,,,,,,
7,f0103,foto,"demo v3, o flash-forward",21-46.jpg,4.0,0.7,68.0,72.0,3.3,2.6,Zoom in,Tiago,fundo,,,,,,
8,f0153,foto,"demo v3, o flash-forward",21-49.jpg,4.0,0.7,71.3,75.3,3.3,2.6,Zoom in,Com o pai,fundo,,,,,,
9,f0351,foto,"demo v3, o flash-forward",1996_tiago_e_irmao_mais_velho.jpg,4.0,0.7,74.6,78.6,3.3,2.6,Zoom in,"Agarradinho pelo seu irmão mais velho, mas a tentar fugir",fundo,,,,,,
10,f0104,foto,"demo v3, o flash-forward",21-47.jpg,4.0,0.7,77.9,81.9,3.3,2.6,Zoom in,E era amoroso,fundo,,,,,,
