ficheiro,caminho,quando_s,in_s,dura_s,ganho,nota
Lang Lang - Beauty and the Beast (From Lang Lang Plays Disney  Live).mp3,C:/casamento-video-media/trabalho\02-NOVAS-MÚSICAS\Lang Lang - Beauty and the Beast (From Lang Lang Plays Disney  Live).mp3,0.0,5.0,26.0,1.0,do pedido ate ao nascimento do Tiago
rebobinar.wav,C:/casamento-video-media/gerados\rebobinar.wav,2.7,0.0,3.78,1.15,fita a rebobinar
Candidato a vereador.mp3,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\Candidato a vereador.mp3,26.0,173.7,7.5,2.0,"foguetes, nascimento do Tiago"
O Rei Leão (PT-PT) Ciclo Sem Fim.mp3,C:/casamento-video-media/trabalho\02-NOVAS-MÚSICAS\O Rei Leão (PT-PT) Ciclo Sem Fim.mp3,32.5,0.0,54.8,1.05,"Rei Leao, do nascimento do Tiago ate ao da Clara"
Lang Lang - Beauty and the Beast (From Lang Lang Plays Disney  Live).mp3,C:/casamento-video-media/trabalho\02-NOVAS-MÚSICAS\Lang Lang - Beauty and the Beast (From Lang Lang Plays Disney  Live).mp3,87.3,31.0,11.55,1.0,"retoma a musica da abertura onde parou, na fita que volta antes da Clara"
Candidato a vereador.mp3,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\Candidato a vereador.mp3,98.85,173.7,7.5,2.0,"foguetes, no primeiro texto da Clara"
Ana Faria - Clara.mp3,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\Ana Faria - Clara.mp3,105.35,6.0,109.5,1.0,a musica da Clarinha que a mae dela pos
Gilbert O`Sullivan - CLAIR - ( The Sweetest `Clair ` video Ever !) - And Clair answers back !.mp3,C:/casamento-video-media/trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\Gilbert O`Sullivan - CLAIR - ( The Sweetest `Clair ` video Ever !) - And Clair answers back !.mp3,214.85,6.5,22.7,1.0,"marcada na Mesa, no clip das 214.8 s"
Baha Men - Who Let The Dogs Out (Lyrics).mp3,C:/casamento-video-media/trabalho\02-NOVAS-MÚSICAS\Baha Men - Who Let The Dogs Out (Lyrics).mp3,237.55,1.69,43.4,1.0,"marcada na Mesa, no clip das 237.6 s"
Tokyo Drift - Teriyaki Boyz [ MUSIC VIDEO ] HD.mp3,C:/casamento-video-media/trabalho\02-NOVAS-MÚSICAS\Tokyo Drift - Teriyaki Boyz [ MUSIC VIDEO ] HD.mp3,280.95,0.64,32.2,1.0,"marcada na Mesa, no clip das 280.9 s"
Tiago Celebration Song (Reggae).mp3,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\Tiago Celebration Song (Reggae).mp3,313.15,0.0,92.4,1.0,"marcada na Mesa, no clip das 313.1 s"
Antonio variações - o corpo é que paga ( semi-original ).mp3,C:/casamento-video-media/trabalho\02-NOVAS-MÚSICAS\Antonio variações - o corpo é que paga ( semi-original ).mp3,405.55,2.44,31.4,1.0,"marcada na Mesa, no clip das 405.6 s"
Inês Homem de Melo – Fome de Viagem (Music Video).mp3,C:/casamento-video-media/trabalho\02-NOVAS-MÚSICAS\Inês Homem de Melo – Fome de Viagem (Music Video).mp3,436.95,0.0,23.6,1.0,"marcada na Mesa, no clip das 436.9 s"
Já Sei Namorar - Tribalistas.mp3,C:/casamento-video-media/trabalho\02-NOVAS-MÚSICAS\Já Sei Namorar - Tribalistas.mp3,460.55,0.79,81.9,1.0,"marcada na Mesa, no clip das 460.6 s"
Steppenwolf - Born To Be Wild (Lyrics).mp3,C:/casamento-video-media/trabalho\02-NOVAS-MÚSICAS\Steppenwolf - Born To Be Wild (Lyrics).mp3,542.45,0.0,30.6,1.0,"marcada na Mesa, no clip das 542.5 s"
Queen - Friends Will Be Friends (Lyrics).mp3,C:/casamento-video-media/trabalho\02-NOVAS-MÚSICAS\Queen - Friends Will Be Friends (Lyrics).mp3,573.05,28.0,153.7,1.0,"marcada na Mesa, no clip das 573.0 s"
