ordem,id,tipo,seccao,ficheiro,duracao_s,transicao_s,inicio_s,fim_s,dominante_s,solo_s,movimento,texto_ecra,duracao_original_s,variacao_pct,fonte_imagem,nota
1,,video,Fanfarra,20th Century Fox   Abertura Clássic.mp4,20.37,0.0,0.0,20.37,20.37,18.97,,,20.371,0.0,,"fanfarra, fica inteira"
2,,cartao,Fanfarra,,5.12,0.7,19.67,24.79,4.42,3.72,,A História de Clara e Tiago,7.0,-26.8,,
3,,cartao,Clara,,3.7,0.7,24.09,27.79,3.0,2.3,,Clara,5.0,-26.0,,
4,,cartao,Clara,,4.41,0.7,27.09,31.5,3.71,3.01,,Era uma vez uma  menina que nasceu no  ano da graça de 1995,6.0,-26.5,,
5,f0012,foto,Clara,1 (2).jpg,5.12,0.7,30.8,35.93,4.42,3.72,Zoom in,"Era clara,  e como  já estava  vaticinado, chamar-se-ia  Clara.",7.0,-26.8,IA,
6,f0041,foto,Clara,2.jpg,4.41,0.7,35.23,39.64,3.71,3.01,Zoom in,Era muito bem disposta...,6.0,-26.5,IA,
7,f0169,foto,Clara,5 (2).jpg,4.41,0.7,38.94,43.35,3.71,3.01,Zoom in,,6.0,-26.5,IA,
8,f0172,foto,Clara,6.jpg,3.7,0.7,42.65,46.35,3.0,2.3,Zoom in,Muito curiosa...,5.0,-26.0,IA,
9,f0170,foto,Clara,5-3.jpg,5.12,0.7,45.65,50.77,4.42,3.72,Zoom in,"Muito  rebelde...  (Dizia  ""não se  mexe"",  e  mexia...)",7.0,-26.8,IA,
10,f0175,foto,Clara,7.jpg,3.7,0.7,50.07,53.77,3.0,2.3,Zoom in,Muito irrequieta...,5.0,-26.0,IA,
11,f0230,foto,Clara,9-25.jpg,4.41,0.7,53.07,57.48,3.71,3.01,Zoom in,Gostava  dos  bichinhos  todos,6.0,-26.5,IA,
12,f0174,foto,Clara,7-1.jpg,4.41,0.7,56.78,61.2,3.71,3.01,Zoom in,Clarinha  e  as  pombas,6.0,-26.5,IA,
13,f0186,foto,Clara,8.jpg,4.41,0.7,60.5,64.91,3.71,3.01,Zoom in,"Era endiabrada, mas também encantadora.",6.0,-26.5,IA,
14,f0176,foto,Clara,8-1.jpg,3.7,0.7,64.21,67.91,3.0,2.3,Zoom in,,5.0,-26.0,IA,
15,f0177,foto,Clara,8-3.jpg,4.41,0.7,67.21,71.62,3.71,3.01,Zoom in,E clarividente,6.0,-26.5,IA,
16,f0179,foto,Clara,8-5.jpg,5.12,0.7,70.92,76.04,4.42,3.72,Zoom in,Desde muito cedo criou uma  grande empatia com colegas e amigos,7.0,-26.8,IA,
17,f0184,foto,Clara,8-9-2.jpg,5.83,0.7,75.34,81.17,5.13,4.43,Zoom in,"Aos 8 anos recebeu o primeiro pedido de  casamento, uma aliança feita de  uma argola de porta-chaves...",8.0,-27.1,original,
18,f0236,foto,Clara,9.1.jpg,4.41,0.7,80.47,84.89,3.71,3.01,Zoom in,Já usou um  penteado à  Emma Watson,6.0,-26.5,IA,
19,f0237,foto,Clara,9.4.JPG,3.7,0.7,84.19,87.89,3.0,2.3,Zoom in,Aos 16 anos,5.0,-26.0,lanczos,
20,f0235,foto,Clara,9-5.JPG,3.7,0.7,87.19,90.89,3.0,2.3,Zoom in,,5.0,-26.0,original,
21,f0221,foto,Clara,9-2.jpg,4.41,0.7,90.19,94.6,3.71,3.01,Zoom in,Aos 18 anos,6.0,-26.5,IA,
22,f0213,foto,Clara,9-14.JPG,4.41,0.7,93.9,98.31,3.71,3.01,Zoom in,Foi sempre irreverente...,6.0,-26.5,original,
23,f0039,foto,Clara,19-1.JPG,3.7,0.7,97.61,101.31,3.0,2.3,Zoom in,,5.0,-26.0,original,
24,f0040,foto,Clara,19-2.JPG,5.12,0.7,100.61,105.73,4.42,3.72,Zoom in,E comunicativa (No Rock in Rio Lisboa),7.0,-26.8,original,
25,f0211,foto,Clara,9-12.JPG,6.55,0.7,105.03,111.58,5.85,5.15,Zoom in,Colaborando com uma  estátua viva  em Barcelona,9.0,-27.3,original,
26,f0212,foto,Clara,9-13.JPG,3.7,0.7,110.88,114.58,3.0,2.3,Zoom in,,5.0,-26.0,IA,
27,f0217,foto,Clara,9-15.JPG,7.26,0.7,113.88,121.13,6.56,5.86,Zoom in,"Com um vendedor de artesanato no vulcão Etna  (Sicília). ""Chiara, siediti qui per una foto.""",10.0,-27.4,original,
28,f0214,foto,Clara,9-15-1.JPG,4.41,0.7,120.43,124.84,3.71,3.01,Zoom in,"Com o Miguel Araújo, na Feira do Livro.",6.0,-26.5,IA,
29,f0215,foto,Clara,9-15-2.jpg,4.41,0.7,124.14,128.55,3.71,3.01,Zoom in,Numa Ação de  Voluntariado  Morais Leitão,6.0,-26.5,IA,
30,f0216,foto,Clara,9-15-4.jpg,7.26,0.7,127.85,135.11,6.56,5.86,Nenhum,Orgulhosa do primeiro automóvel. Com ele    iria ganhar... algumas multas por excesso                                                      de  velocidade... / Eterna fã do Harry Potter (Local de filmagens em  Londres)...,10.0,-27.4,original,
31,f0218,foto,Clara,9-16.JPG,5.12,0.7,134.41,139.53,4.42,3.72,Zoom in,Eterna fã do Harry Potter (Local de filmagens em  Londres)...,7.0,-26.8,original,
32,f0219,foto,Clara,9-17.JPG,5.12,0.7,138.83,143.96,4.42,3.72,Zoom in,"Do ""Game of Thrones"". (Local de  filmagens na Croácia)...",7.0,-26.8,original,
33,f0220,foto,Clara,9-18.JPG,4.41,0.7,143.26,147.67,3.71,3.01,Zoom in,E de futebolistas...,6.0,-26.5,original,
34,f0222,foto,Clara,9-23.JPG,3.7,0.7,146.97,150.67,3.0,2.3,Zoom in,Gosta de festas...,5.0,-26.0,original,
35,f0229,foto,Clara,9-24.JPG,3.7,0.7,149.97,153.67,3.0,2.3,Zoom in,,5.0,-26.0,lanczos,
36,f0223,foto,Clara,9-24-1.JPG,3.7,0.7,152.97,156.67,3.0,2.3,Zoom in,E de convívios,5.0,-26.0,lanczos,
37,f0225,foto,Clara,9-24-4.jpeg,4.41,0.7,155.97,160.38,3.71,3.01,Zoom in,Gosta de  futebol  e  adora  o FCP,6.0,-26.5,IA,
38,f0226,foto,Clara,9-24-5.JPG,5.12,0.7,159.68,164.8,4.42,3.72,Zoom in,Quando lhe  dizem  que o FCP  vai perder...,7.0,-26.8,original,
39,f0054,foto,Clara,20260623_201228.jpg,4.06,0.7,164.1,168.16,3.36,2.66,Zoom in,No Mundial  de futebol  2026,5.5,-26.3,lanczos,
40,f0298,foto,Clara,Scanner_20260814.jpg,4.41,0.7,167.46,171.87,3.71,3.01,Zoom in,É desde sempre  apaixonada por cães,6.0,-26.5,IA,
41,f0231,foto,Clara,9-26.JPG,3.7,0.7,171.17,174.87,3.0,2.3,Zoom in,Pelos dela...,5.0,-26.0,IA,
