ordem,id,tipo,seccao,ficheiro,duracao_s,transicao_s,inicio_s,fim_s,dominante_s,solo_s,movimento,texto_ecra,tratamento,duracao_original_s,variacao_pct,fonte_imagem,nota
1,,video,Fanfarra,20th Century Fox   Abertura Clássic.mp4,20.37,0.0,0.0,20.37,20.37,20.37,,,fiel,20.371,0.0,,"fanfarra, fica inteira"
2,,cartao,Fanfarra,,4.15,0.7,19.67,23.82,3.45,2.75,,A História de Clara e Tiago,fiel,7.0,-40.7,,
3,,cartao,Clara,,3.7,0.7,23.12,26.82,3.0,2.3,,Clara,fiel,5.0,-26.0,,
4,,cartao,Clara,,3.93,0.7,26.12,30.05,3.23,2.53,,Era uma vez uma  menina que nasceu no  ano da graça de 1995,fiel,6.0,-34.6,,
5,f0012,foto,Clara,1 (2).jpg,4.15,0.7,29.35,33.5,3.45,2.75,Zoom in,"Era clara,  e como  já estava  vaticinado, chamar-se-ia  Clara.",fundo,7.0,-40.7,,
6,f0041,foto,Clara,2.jpg,3.93,0.7,32.8,36.73,3.23,2.53,Zoom in,Era muito bem disposta...,fiel,6.0,-34.6,,
7,f0169,foto,Clara,5 (2).jpg,3.93,0.7,36.03,39.95,3.23,2.53,Zoom in,,fiel,6.0,-34.6,,
8,f0172,foto,Clara,6.jpg,3.7,0.7,39.25,42.95,3.0,2.3,Zoom in,Muito curiosa...,fundo,5.0,-26.0,,
9,f0170,foto,Clara,5-3.jpg,4.15,0.7,42.25,46.4,3.45,2.75,Zoom in,"Muito  rebelde...  (Dizia  ""não se  mexe"",  e  mexia...)",fundo,7.0,-40.7,,
10,f0175,foto,Clara,7.jpg,3.7,0.7,45.7,49.4,3.0,2.3,Zoom in,Muito irrequieta...,fundo,5.0,-26.0,,
11,f0230,foto,Clara,9-25.jpg,3.93,0.7,48.7,52.63,3.23,2.53,Zoom in,Gostava  dos  bichinhos  todos,fundo,6.0,-34.6,,
12,f0174,foto,Clara,7-1.jpg,3.93,0.7,51.93,55.86,3.23,2.53,Zoom in,Clarinha  e  as  pombas,fundo,6.0,-34.6,,
13,f0186,foto,Clara,8.jpg,3.93,0.7,55.16,59.08,3.23,2.53,Zoom in,"Era endiabrada, mas também encantadora.",fiel,6.0,-34.6,,
14,f0176,foto,Clara,8-1.jpg,3.7,0.7,58.38,62.08,3.0,2.3,Zoom in,,fundo,5.0,-26.0,,
15,f0177,foto,Clara,8-3.jpg,3.93,0.7,61.38,65.31,3.23,2.53,Zoom in,E clarividente,fundo,6.0,-34.6,,
16,f0179,foto,Clara,8-5.jpg,4.15,0.7,64.61,68.76,3.45,2.75,Zoom in,Desde muito cedo criou uma  grande empatia com colegas e amigos,fundo,7.0,-40.7,,
