ordem,id,tipo,seccao,ficheiro,duracao_s,transicao_s,inicio_s,fim_s,dominante_s,solo_s,movimento,texto_ecra,tratamento,duracao_original_s,variacao_pct,fonte_imagem,nota
1,,video,Fanfarra,20th Century Fox   Abertura Clássic.mp4,20.37,0.0,0.0,20.37,20.37,20.37,,,fiel,20.371,0.0,,"fanfarra, fica inteira"
2,,cartao,Fanfarra,,4.15,0.7,19.67,23.82,3.45,2.75,,A História de Clara e Tiago,fiel,7.0,-40.7,,
3,,cartao,Clara,,3.7,0.7,23.12,26.82,3.0,2.3,,Clara,fiel,5.0,-26.0,,
4,,cartao,Clara,,3.93,0.7,26.12,30.05,3.23,2.53,,Era uma vez uma  menina que nasceu no  ano da graça de 1995,fiel,6.0,-34.6,,
5,f0012,foto,Clara,1 (2).jpg,4.15,0.7,29.35,33.5,3.45,2.75,Zoom in,"Era clara,  e como  já estava  vaticinado, chamar-se-ia  Clara.",fundo,7.0,-40.7,,
6,f0041,foto,Clara,2.jpg,3.93,0.7,32.8,36.73,3.23,2.53,Zoom in,Era muito bem disposta...,fiel,6.0,-34.6,,
7,,cartao,,,4.2,0.7,36.03,40.23,3.5,2.8,,"Era uma vez um menino loiro, de olhos azuis, que tambem nasceu em 1995",fiel,,,,"encadeamento 8: Os dois cartoes de 1995, encostados"
8,f0103,foto,,21-46.jpg,4.2,0.7,39.53,43.73,3.5,2.8,Zoom in,Foi o segundo filho,fundo,,,,"encadeamento 8: Os dois cartoes de 1995, encostados"
9,f0351,foto,,1996_tiago_e_irmao_mais_velho.jpg,4.2,0.7,43.03,47.23,3.5,2.8,Zoom in,Com o irmao mais velho,fiel,,,,"encadeamento 8: Os dois cartoes de 1995, encostados"
10,,cartao,,,3.2,0.7,46.53,49.73,2.5,1.8,,E ela,fiel,,,,"encadeamento 8: Os dois cartoes de 1995, encostados"
11,f0169,foto,Clara,5 (2).jpg,3.93,0.7,49.03,52.96,3.23,2.53,Zoom in,,fiel,6.0,-34.6,,
12,f0172,foto,Clara,6.jpg,3.7,0.7,52.26,55.96,3.0,2.3,Zoom in,Muito curiosa...,fundo,5.0,-26.0,,
13,f0170,foto,Clara,5-3.jpg,4.15,0.7,55.26,59.41,3.45,2.75,Zoom in,"Muito  rebelde...  (Dizia  ""não se  mexe"",  e  mexia...)",fundo,7.0,-40.7,,
14,f0175,foto,Clara,7.jpg,3.7,0.7,58.71,62.41,3.0,2.3,Zoom in,Muito irrequieta...,fundo,5.0,-26.0,,
15,f0230,foto,Clara,9-25.jpg,3.93,0.7,61.71,65.64,3.23,2.53,Zoom in,Gostava  dos  bichinhos  todos,fundo,6.0,-34.6,,
