ficheiro,caminho,quando_s,in_s,dura_s,ganho,nota
Lang Lang - Beauty and the Beast (From Lang Lang Plays Disney  Live).mp3,C:/casamento-video-media/trabalho\02-NOVAS-MÚSICAS\Lang Lang - Beauty and the Beast (From Lang Lang Plays Disney  Live).mp3,0.0,5.0,8.3,1.0,do pedido ate ao nascimento do Tiago
rebobinar.wav,C:/casamento-video-media/gerados\rebobinar.wav,2.7,0.0,3.78,1.15,fita a rebobinar
Mariah Carey - All I Want for Christmas Is You (Make My Wish Come True Edition).mp3,C:/casamento-video-media/trabalho\02-NOVAS-MÚSICAS\Mariah Carey - All I Want for Christmas Is You (Make My Wish Come True Edition).mp3,8.3,42.0,28.27,1.0,"marcada na Mesa, no clip das 8.3 s"
Lang Lang - Beauty and the Beast (From Lang Lang Plays Disney  Live).mp3,C:/casamento-video-media/trabalho\02-NOVAS-MÚSICAS\Lang Lang - Beauty and the Beast (From Lang Lang Plays Disney  Live).mp3,36.57,13.3,29.5,1.0,"marcada na Mesa, no clip das 36.6 s"
rebobinar.wav,C:/casamento-video-media/gerados\rebobinar.wav,42.07,0.0,3.78,1.15,fita a rebobinar
Candidato a vereador.mp3,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\Candidato a vereador.mp3,66.07,173.7,7.5,2.0,"foguetes, nascimento do Tiago"
O Rei Leão (PT-PT) Ciclo Sem Fim.mp3,C:/casamento-video-media/trabalho\02-NOVAS-MÚSICAS\O Rei Leão (PT-PT) Ciclo Sem Fim.mp3,72.57,0.0,51.5,1.05,"Rei Leao, do nascimento do Tiago ate ao da Clara"
Lang Lang - Beauty and the Beast (From Lang Lang Plays Disney  Live).mp3,C:/casamento-video-media/trabalho\02-NOVAS-MÚSICAS\Lang Lang - Beauty and the Beast (From Lang Lang Plays Disney  Live).mp3,124.07,42.8,11.55,1.0,"retoma a musica da abertura onde parou, na fita que volta antes da Clara"
Candidato a vereador.mp3,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\Candidato a vereador.mp3,135.62,173.7,7.5,2.0,"foguetes, no primeiro texto da Clara"
Ana Faria - Clara.mp3,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\Ana Faria - Clara.mp3,142.12,6.0,109.5,1.0,a musica da Clarinha que a mae dela pos
Gilbert O`Sullivan - CLAIR - ( The Sweetest `Clair ` video Ever !) - And Clair answers back !.mp3,C:/casamento-video-media/trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\Gilbert O`Sullivan - CLAIR - ( The Sweetest `Clair ` video Ever !) - And Clair answers back !.mp3,251.62,6.5,22.7,1.0,"marcada na Mesa, no clip das 251.6 s"
Baha Men - Who Let The Dogs Out (Lyrics).mp3,C:/casamento-video-media/trabalho\02-NOVAS-MÚSICAS\Baha Men - Who Let The Dogs Out (Lyrics).mp3,274.32,1.69,43.4,1.0,"marcada na Mesa, no clip das 274.3 s"
Tokyo Drift - Teriyaki Boyz [ MUSIC VIDEO ] HD.mp3,C:/casamento-video-media/trabalho\02-NOVAS-MÚSICAS\Tokyo Drift - Teriyaki Boyz [ MUSIC VIDEO ] HD.mp3,317.72,0.64,35.5,1.0,"marcada na Mesa, no clip das 317.7 s"
Tiago Celebration Song (Reggae).mp3,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\Tiago Celebration Song (Reggae).mp3,353.22,0.0,92.4,1.0,"marcada na Mesa, no clip das 353.2 s"
Antonio variações - o corpo é que paga ( semi-original ).mp3,C:/casamento-video-media/trabalho\02-NOVAS-MÚSICAS\Antonio variações - o corpo é que paga ( semi-original ).mp3,445.62,2.44,31.4,1.0,"marcada na Mesa, no clip das 445.6 s"
Inês Homem de Melo – Fome de Viagem (Music Video).mp3,C:/casamento-video-media/trabalho\02-NOVAS-MÚSICAS\Inês Homem de Melo – Fome de Viagem (Music Video).mp3,477.02,0.0,23.6,1.0,"marcada na Mesa, no clip das 477.0 s"
Já Sei Namorar - Tribalistas.mp3,C:/casamento-video-media/trabalho\02-NOVAS-MÚSICAS\Já Sei Namorar - Tribalistas.mp3,500.62,31.16,78.6,1.0,"marcada na Mesa, no clip das 500.6 s"
Steppenwolf - Born To Be Wild (Lyrics).mp3,C:/casamento-video-media/trabalho\02-NOVAS-MÚSICAS\Steppenwolf - Born To Be Wild (Lyrics).mp3,579.22,0.0,40.5,1.0,"marcada na Mesa, no clip das 579.2 s"
Queen - Friends Will Be Friends (Lyrics).mp3,C:/casamento-video-media/trabalho\02-NOVAS-MÚSICAS\Queen - Friends Will Be Friends (Lyrics).mp3,619.72,28.0,143.8,1.0,"marcada na Mesa, no clip das 619.7 s"
