ordem,faixa,tipo,inicio_s,fim_s,duracao_s,ficheiro,caminho_original,encontrado,caminho_disco,in_s,out_s,movimento,transicao,transicao_s,texto_ecra,largura,altura,resolucao_ok
1,video,video,0.0,20.371,20.371,20th Century Fox   Abertura Clássic.mp4,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\20th Century Fox   Abertura Clássic.mp4,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\20th Century Fox   Abertura Clássic.mp4,1.796,22.168,,,,,480,360,Nao
2,musica,musica,20.361,32.301,11.94,Dumbo - música de abertura.wmv(1).mp3,C:\Users\Rosa Moreira\Music\Dumbo - música de abertura.wmv(1).mp3,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\Dumbo - música de abertura.wmv(1).mp3,2.16,14.1,,,,,0,0,
3,video,cartao,20.371,27.371,7.0,,,,,,,,,,,,,
4,texto,cartao,20.371,27.371,7.0,,,,,,,,,,A História de Clara e Tiago,,,
5,video,cartao,27.371,32.371,5.0,,,,,,,,,,,,,
6,texto,cartao,27.371,32.371,5.0,,,,,,,,,,Clara,,,
7,musica,musica,32.361,43.881,11.52,Candidato a vereador.mp3,C:\Users\Rosa Moreira\Music\Vídeo Anos Clara\Candidato a vereador.mp3,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_ana-faria-clara-mp3_2026-09-10_1128\Candidato a vereador.mp3,173.67,185.19,,,,,0,0,
8,video,cartao,32.371,38.371,6.0,,,,,,,,,,,,,
9,texto,cartao,32.371,38.371,6.0,,,,,,,,,,Era uma vez uma  menina que nasceu no  ano da graça de 1995,,,
10,video,foto,38.371,45.371,7.0,1 (2).jpg,C:\Users\Rosa Moreira\Desktop\Casamento-Selecionadas\1 (2).jpg,Sim,C:\casamento-video-media\trabalho\00-ORIGINAL-MAE\wetransfer_fotos_2026-09-10_1110\1 (2).jpg,,,Zoom in,,,,769,1086,Nao
