quando,montagem,ficheiro,leve,duracao_s,mb,clips,parcial,musicas
2026-09-13 15:39,v3,v3_2026-09-13_1539.mp4,v3_2026-09-13_1539_leve.mp4,204.3,60.8,43,Nao,Lang Lang - Beauty and the Beast (From L | Candidato a vereador | Rei_Leão_Ciclo Sem FimNants’ Ingonyama | Ana Faria - Clara | Gilbert O`Sullivan - CLAIR - ( The Sweet
2026-09-13 16:04,v3,v3_2026-09-13_1604_parcial.mp4,,7.6,0.1,4,Sim,Lang Lang - Beauty and the Beast (From L | Candidato a vereador | Rei_Leão_Ciclo Sem FimNants’ Ingonyama | Ana Faria - Clara | Gilbert O`Sullivan - CLAIR - ( The Sweet
2026-09-14 12:43,ensaio_lado,ensaio_lado_2026-09-14_1243_parcial.mp4,,23.9,4.3,4,Sim,
2026-09-14 13:14,ensaio_foco,ensaio_foco_2026-09-14_1314_parcial.mp4,,12.3,2.4,2,Sim,
2026-09-14 13:17,ensaio_foco,ensaio_foco_2026-09-14_1317_parcial.mp4,,12.3,2.3,2,Sim,
2026-09-14 13:25,v3,v3_2026-09-14_1317.mp4,v3_2026-09-14_1317_leve.mp4,390.4,136.1,100,Nao,Lang Lang - Beauty and the Beast (From L | Candidato a vereador | Rei_Leão_Ciclo Sem FimNants’ Ingonyama | Ana Faria - Clara | Gilbert O`Sullivan - CLAIR - ( The Sweet | Baha Men - Who Let The Dogs Out (Lyrics) | Tokyo Drift - Teriyaki Boyz [ MUSIC VIDE | Tiago Celebration Song (Reggae) | Antonio variações - o corpo é que paga (
2026-09-14 14:26,v3,v3_2026-09-14_1413.mp4,v3_2026-09-14_1413_leve.mp4,390.4,137.8,100,Nao,Lang Lang - Beauty and the Beast (From L | Candidato a vereador | Rei_Leão_Ciclo Sem FimNants’ Ingonyama | Ana Faria - Clara | Gilbert O`Sullivan - CLAIR - ( The Sweet | Baha Men - Who Let The Dogs Out (Lyrics) | Tokyo Drift - Teriyaki Boyz [ MUSIC VIDE | Tiago Celebration Song (Reggae) | Antonio variações - o corpo é que paga (
2026-09-14 19:17,v3,v3_2026-09-14_1857.mp4,v3_2026-09-14_1857_leve.mp4,597.7,230.0,160,Nao,Lang Lang - Beauty and the Beast (From L | Candidato a vereador | O Rei Leão (PT-PT) Ciclo Sem Fim | Ana Faria - Clara | Gilbert O`Sullivan - CLAIR - ( The Sweet | Baha Men - Who Let The Dogs Out (Lyrics) | Tokyo Drift - Teriyaki Boyz [ MUSIC VIDE | Tiago Celebration Song (Reggae) | Antonio variações - o corpo é que paga ( | Inês Homem de Melo – Fome de Viagem (Mus
2026-09-16 09:00,v3,v3_2026-09-16_0841.mp4,v3_2026-09-16_0841_leve.mp4,578.7,222.0,156,Nao,Lang Lang - Beauty and the Beast (From L | Candidato a vereador | O Rei Leão (PT-PT) Ciclo Sem Fim | Lang Lang - Beauty and the Beast (From L | Ana Faria - Clara | Gilbert O`Sullivan - CLAIR - ( The Sweet | Baha Men - Who Let The Dogs Out (Lyrics) | Tokyo Drift - Teriyaki Boyz [ MUSIC VIDE | Tiago Celebration Song (Reggae) | Antonio variações - o corpo é que paga ( | Inês Homem de Melo – Fome de Viagem (Mus
2026-09-16 09:11,v3,v3_2026-09-16_0911_parcial.mp4,,32.3,1.1,5,Sim,Lang Lang - Beauty and the Beast (From L | Candidato a vereador | O Rei Leão (PT-PT) Ciclo Sem Fim | Lang Lang - Beauty and the Beast (From L | Ana Faria - Clara | Gilbert O`Sullivan - CLAIR - ( The Sweet | Baha Men - Who Let The Dogs Out (Lyrics) | Tokyo Drift - Teriyaki Boyz [ MUSIC VIDE | Tiago Celebration Song (Reggae) | Antonio variações - o corpo é que paga ( | Inês Homem de Melo – Fome de Viagem (Mus
